Date;Open;High;Low;Close;Volume
2024-03-29;4,9855;5,151;4,9475;5,151;1422
2024-02-29;5,085;5,213;4,993;5,116;87744
2024-01-31;4,682;5,107;4,5975;5,076;21963
2023-12-29;5,044;5,044;4,574;4,574;8980
2023-11-30;5,118;5,143;4,9235;5,01;11119
2023-10-31;4,931;5,16;4,8175;5,088;159279
2023-09-29;4,7635;5,066;4,7635;4,844;72425
2023-08-31;4,6285;4,7305;4,473;4,719;5190
2023-07-31;4,4335;4,663;4,3555;4,5755;41907
2023-06-30;4,9;5,03;4,3405;4,435;38550
2023-05-31;4,771;5;4,7215;4,851;5348
2023-04-28;4,406;4,8905;4,3615;4,82;13037
2023-03-31;4,414;4,4875;4,2145;4,362;1823
2023-02-28;4,251;4,4975;4,204;4,444;1884
2023-01-31;4,0635;4,303;3,8125;4,303;14427
2022-12-30;4,1025;4,2195;3,9875;4,0485;599
2022-11-30;4,1715;4,307;3,9825;4,1675;4048
2022-10-31;4,458;4,725;3,936;4,055;10411
2022-09-30;4,7865;4,8;4,4775;4,564;5450
2022-08-31;4,2465;5;4,2465;4,809;49035
2022-07-29;4,4015;4,5505;4,2495;4,3735;14204
2022-06-30;4,751;4,7695;4,283;4,4665;47518
2022-05-31;4,75;4,8775;4,52;4,692;176916
2022-04-29;4,4875;4,7665;4,4875;4,7665;86010
2022-03-31;4,221;4,4805;4,182;4,461;94354
2022-02-28;4,2485;4,3845;4,1455;4,1455;162786
2022-01-31;4,0345;4,3215;4,0345;4,2195;196716
2021-12-31;4,0935;4,277;3,986;4,08;48895
2021-11-30;3,885;4,392;3,8735;4,072;125700
2021-10-29;3,771;3,9595;3,6765;3,8195;65138
2021-09-30;3,6645;3,758;3,4915;3,7505;51924
2021-08-31;3,361;3,7035;3,28;3,6515;142305
2021-07-30;3,204;3,6535;3,039;3,394;683902
2021-06-30;3,096;3,1675;3,0005;3,1675;106300
2021-05-31;2,9915;3,13;2,9145;3,0775;315093
2021-04-30;2,68;3,056;2,6765;2,9535;94887
2021-03-31;2,9775;2,9775;2,7085;2,7085;102651
2021-02-26;2,727;3;2,7255;2,948;34613
2021-01-29;2,6745;2,7995;2,627;2,661;89143
2020-12-31;2,522;2,6075;2,4685;2,6075;2248
2020-11-30;2,503;2,6485;2,4735;2,5435;78003
2020-10-30;2,401;2,529;2,3805;2,4785;130242
2020-09-30;2,527;2,5365;2,374;2,42;84103
2020-08-31;2,484;2,52;2,408;2,497;113103
2020-07-31;2,397;2,4325;2,2635;2,4325;246996
2020-06-30;2,2905;2,38;2,2675;2,3375;26597
2020-05-29;2,3325;2,5;2,2375;2,2375;10510
2020-04-30;2,346;2,45;2,2515;2,3135;8139
2020-03-31;2,7495;2,7745;2,369;2,3955;1360000
2020-02-28;2,7175;2,935;2,6875;2,7045;386588
2020-01-31;2,859;2,859;2,7255;2,7255;1300000
2019-12-31;2,726;2,916;2,7175;2,866;105249
2019-11-29;2,5285;2,726;2,5285;2,726;111211
2019-10-31;2,5795;2,5925;2,4595;2,535;9423
2019-09-30;2,463;2,59;2,411;2,59;8567
2019-08-30;2,604;2,604;2,4315;2,4645;8144
2019-07-31;2,773;2,7985;2,562;2,616;41300
2019-06-28;2,6985;2,749;2,621;2,7215;9238
2019-05-31;2,687;2,6965;2,5;2,6965;49073
2019-04-30;2,7385;2,805;2,6875;2,7055;5799
2019-03-29;2,747;2,7765;2,71;2,762;3285
2019-02-28;2,817;2,861;2,744;2,7465;35043
2019-01-31;2,7;2,88;2,678;2,835;15468
2018-12-31;2,9525;2,9525;2,722;2,722;54283
2018-11-30;3,0875;3,1215;2,888;2,9165;8569
2018-10-31;2,7;3,2;2,7;3,032;24833
2018-09-28;2,7245;2,82;2,583;2,6575;12641
2018-08-31;2,837;2,9275;2,6555;2,714;17041
2018-07-31;3;3;2,849;2,85;23856
2018-06-29;3,3;3,3;3,027;3,027;4365
2018-05-31;3;3,267;2,9;3,267;14376
2018-04-30;2,947;2,9555;2,8305;2,9555;5520
2018-03-30;3,143;3,143;2,9055;2,935;10179
2018-02-28;3,019;3,1565;2,9845;3,1135;22926
2018-01-31;3,3715;3,4045;3,035;3,0455;77927
2017-12-29;3,35;3,3665;3,193;3,3485;14747
2017-11-30;3,3075;3,4;3,3;3,3525;28209
2017-10-31;3,2675;3,355;3,19;3,32;39844
2017-09-29;3,3325;3,41;3,24;3,2475;46198
2017-08-31;3,5075;3,525;3,2225;3,315;8526
2017-07-31;3,4;3,52;3,345;3,51;37592
2017-06-30;3,7125;3,7125;3,2675;3,39;24426
2017-05-31;4,025;4,025;3,6975;3,6975;61775
2017-04-28;4,2625;4,275;3,9025;3,95;10683
2017-03-31;4,565;4,7025;4,22;4,23;17549
2017-02-28;4,7775;4,885;4,5725;4,5775;15716
2017-01-31;4,525;4,88;4,525;4,6725;21221
2016-12-30;4,6975;4,6975;4,3925;4,57;12181
2016-11-30;4,7875;5,08;4,675;4,675;18576
2016-10-31;4,7525;5,08;4,73;4,905;63129
2016-09-30;4,49;4,97;4,49;4,82;12279
2016-08-31;4,4975;4,785;4,34;4,4975;6703
2016-07-29;4,625;4,735;4,4475;4,5025;6291
2016-06-30;3,95;4,63;3,95;4,5725;23567
2016-05-31;3,7325;4,02;3,6725;3,9925;7665
2016-04-29;3,6975;3,7975;3,545;3,76;4510
2016-03-31;3,6125;3,97;3,61;3,7325;25965
2016-02-29;3,5275;3,58;3,3375;3,5775;24113
2016-01-29;3,885;3,885;3,5625;3,5925;2072
2015-12-31;3,95;4,0125;3,59;3,8825;7012
2015-11-30;3,805;4,035;3,7475;3,9325;5008
2015-10-30;3,4825;3,78;3,4825;3,7575;18150
2015-09-30;3,29;3,47;3,2;3,47;1335
2015-08-31;3,4625;3,545;3,135;3,315;85374
2015-07-31;3,745;3,81;3,46;3,51;519
2015-06-30;3,825;3,825;3,475;3,705;142732
2015-05-29;3,9275;3,965;3,7;3,74;39388
2015-04-30;3,895;4,1475;3,895;3,96;14653
2015-03-31;4,02;4,08;3,8475;3,875;42587
2015-02-27;4,21;4,365;4,0375;4,0375;65597
2015-01-30;3,945;4,3975;3,8975;4,2475;10927
2014-12-31;4,12;4,1525;3,94;3,9675;15772
2014-11-28;4,2675;4,2975;4,1825;4,1825;1613
2014-10-31;4,3075;4,685;4,2;4,28;34632
2014-09-30;4,3875;4,545;3,9975;4,37;5992
2014-08-29;4,445;4,4575;4,1875;4,38;13275
2014-07-31;4,345;4,3825;4,125;4,3675;133059
2014-06-30;4,5075;4,5975;4,365;4,405;29526
2014-05-30;4,8025;4,815;4,445;4,545;24921
2014-04-30;4,6625;4,9575;4,5475;4,8475;14670
2014-03-31;4,775;5;4,3025;4,7025;116050
2014-02-28;4,0425;4,735;4,0425;4,68;190251
2014-01-31;3,9375;4,015;3,775;4,0075;78669
2013-12-31;3,995;4,075;3,8;3,9475;19888
2013-11-29;4,1125;4,1125;3,925;3,9675;90748
2013-10-31;4,285;4,365;4,06;4,0975;22326
2013-09-30;4,2375;4,345;4,21;4,285;80244
2013-08-30;4,325;4,515;4,18;4,2125;55773
2013-07-31;4,4225;4,47;4,22;4,3275;104787
2013-06-28;4,44;4,53;4,29;4,4325;102026
2013-05-31;4,63;4,8625;4,43;4,43;57298
2013-04-30;4,9025;4,9375;4,64;4,665;26170
2013-03-29;4,9025;5,08;4,885;4,9275;21112
2013-02-28;4,9;4,95;4,69;4,9025;258289
2013-01-31;5,125;5,14;4,625;4,85;75778
2012-12-31;5,06;5,125;4,735;4,98;112521
2012-11-30;5,135;5,22;4,975;5,045;60398
2012-10-31;5,5;5,705;5,085;5,085;525403
2012-09-28;5,631;5,66;5,385;5,4367;22255
2012-08-31;6,2;6,41;5,595;5,6065;6453
2012-07-31;5,83;6,5725;5,83;6,1685;59085
2012-06-29;5,39;5,76;5,3;5,676;49828
2012-05-31;5,84;5,84;5,44;5,505;6117
