Date;Open Price;High Price;Low Price;Last Price;ETFSD3E GR Equity (EUR) - Volume
29/03/2024;16,134;16,918;15,908;16,864;17475
29/02/2024;16;16,204;15,504;16,194;4051
31/01/2024;16,01;16,196;15,658;16,016;163156
29/12/2023;15,51;16,144;15,504;15,954;45814
30/11/2023;14,512;15,514;14,46;15,514;64476
31/10/2023;15,112;15,336;14,192;14,502;65791
29/09/2023;15,976;16,096;15,008;15,148;178856
31/08/2023;16,252;16,308;15,6;15,992;5133
31/07/2023;15,984;16,398;15,574;16,276;8930
30/06/2023;15,772;16,31;15,482;16,006;8238
31/05/2023;15,866;16,324;15,664;15,846;3752
28/04/2023;15,966;16,55;15,398;16,072;7378
31/03/2023;17,336;17,474;15;15,718;8099
28/02/2023;17,182;17,73;16,652;17,272;6596
31/01/2023;16,196;17,432;16,196;17,29;22062
30/12/2022;16,654;16,74;15,474;16,264;12987
30/11/2022;16,02;16,846;15,744;16,682;15806
31/10/2022;14,554;16,148;14,554;15,962;2423
30/09/2022;15,906;16,376;14,55;14,632;13234
31/08/2022;16,378;17,184;15,53;16,006;90157
29/07/2022;15,642;16,508;15,318;16,508;2918
30/06/2022;17,788;17,96;15,692;15,802;23470
31/05/2022;17,296;18,062;16,722;17,792;6744
29/04/2022;17,744;18,238;17,226;17,314;6850
31/03/2022;18,168;18,306;15,606;17,704;38070
28/02/2022;19,762;20,01;17,768;18,042;49239
31/01/2022;19,658;20,6;18,766;19,84;17143
31/12/2021;18,898;19,748;18,552;19,684;10780
30/11/2021;19,268;19,724;18,5;18,704;32455
29/10/2021;18,792;19,5;18,682;19,234;21028
30/09/2021;19,74;19,826;18,414;18,886;15344
31/08/2021;19,34;19,958;19,162;19,646;37089
30/07/2021;19,056;19,394;18,542;19,264;15335
30/06/2021;19,402;19,844;18,876;19,022;26375
31/05/2021;18,726;19,468;18,562;19,342;18007
30/04/2021;18,822;19,12;18,65;18,68;8935
31/03/2021;17,16;18,976;17,16;18,804;18576
26/02/2021;16,47;17,514;16,364;17,174;12217
29/01/2021;16,486;17,002;16,196;16,3;25647
31/12/2020;16,416;16,684;15,638;16,528;19601
30/11/2020;13,692;16,628;13,69;16,28;11698
30/10/2020;14,32;15,02;13,444;13,736;6300
30/09/2020;14,734;15,128;13,67;14,242;13692
31/08/2020;14,26;15,246;14,094;14,698;15187
31/07/2020;14,442;15,338;13,932;14,164;57319
30/06/2020;14,246;16,038;13,94;14,43;16481
29/05/2020;13,344;14,33;12,248;13,92;19132
30/04/2020;12,846;14,034;12,282;13,388;36103
31/03/2020;18,05;18,422;11,508;12,986;73575
28/02/2020;20,13;21,24;17,804;17,898;51626
31/01/2020;20,965;21,185;20,01;20,03;9848
31/12/2019;20,785;21,135;20,275;20,995;24620
29/11/2019;20,37;21,13;20,25;20,725;52558
31/10/2019;19,902;20,575;19,022;20,3;47684
30/09/2019;19,326;19,93;19,21;19,816;6906
30/08/2019;19,546;19,756;18,436;19,29;28411
31/07/2019;19,882;20,34;19,47;19,578;12893
28/06/2019;19,306;19,972;19,188;19,698;10868
31/05/2019;20,73;20,905;19,27;19,376;16387
30/04/2019;19,836;21,025;19,83;20,765;11998
29/03/2019;19,614;20,37;19,36;19,814;22155
28/02/2019;18,948;19,6;18,804;19,56;14636
31/01/2019;17,91;19,128;17,696;18,942;14441
31/12/2018;19,244;19,588;17,578;17,962;21034
30/11/2018;19,022;19,722;18,876;19,21;11786
31/10/2018;19,854;20,005;18,666;19,096;13025
28/09/2018;19,84;20,29;19,468;19,836;10883
31/08/2018;20,69;20,785;19,654;19,856;26764
31/07/2018;19,682;20,81;19,596;20,725;16594
29/06/2018;20,795;21,135;19,562;19,824;10269
31/05/2018;21,57;21,88;20,555;20,82;10819
30/04/2018;20,15;21,66;19,978;21,55;24175
30/03/2018;20,88;21,095;19,704;20,325;29201
28/02/2018;21,74;21,845;20,07;20,95;36984
31/01/2018;21,16;22,075;21,035;21,65;80184
29/12/2017;21,697;21,77;21,16;21,21;63074
30/11/2017;22,02;22,2;21,142;21,59;55473
31/10/2017;21,51;22,19;21,262;22,18;32970
29/09/2017;20,87;21,45;20,69;21,44;30921
31/08/2017;20,88;21,44;20,584;20,86;56694
31/07/2017;20,71;21,44;20,642;20,82;51693
30/06/2017;21,76;22,17;20,58;20,71;125007
31/05/2017;21,38;22,1;21,277;21,75;177904
28/04/2017;21,01;21,49;20,39;21,3;184122
31/03/2017;20,07;21,06;20,07;21,01;189133
28/02/2017;19,89;20,31;19,486;20,05;135423
31/01/2017;19,98;20,41;19,702;19,82;139409
30/12/2016;18,63;20,11;18,32;20,07;60424
30/11/2016;18,82;19,09;17,765;18,67;45661
31/10/2016;18,22;18,98;18,01;18,72;79575
30/09/2016;18,28;18,74;17,55;18,2;85032
31/08/2016;18,32;18,67;17,647;18,26;62259
29/07/2016;17,49;18,3;16,66;18,12;38177
30/06/2016;18,881;18,95;15,652;17,5;198782
31/05/2016;18,47;19,09;17,85;18,85;53989
29/04/2016;17,99;18,98;17,34;18,45;98745
31/03/2016;17,54;18,58;17,51;18,14;65456
29/02/2016;18,28;18,3;16,21;17,56;71155
29/01/2016;18,202;18,308;16,65;18,26;92610
31/12/2015;19,52;19,64;17,811;18,7;48267
30/11/2015;18,88;19,57;18,309;19,414;50580
30/10/2015;17,77;19,16;17,36;18,916;70226
30/09/2015;17,83;18,47;16,98;17,61;80963
31/08/2015;19,52;19,95;17,04;18,17;63670
31/07/2015;18,63;20,08;18;19,53;64828
30/06/2015;19,71;19,79;18,33;18,55;49701
29/05/2015;19,96;20,39;19,19;19,65;37733
30/04/2015;19,94;20,96;19,75;19,764;134065
31/03/2015;19,96;20,34;19,57;20,01;183203
27/02/2015;18,86;20,03;18,83;19,96;38927
30/01/2015;17,87;19,18;17,07;18,85;75004
31/12/2014;18,11;18,45;16,73;17,8;21561
28/11/2014;17,492;18,18;17,01;18,1;55547
31/10/2014;17,7;17,76;15,59;17,47;90526
30/09/2014;18,12;18,47;17,5;17,69;41781
29/08/2014;17,87;18,28;17,1;18,11;35185
31/07/2014;18,5;18,74;17,791;17,82;58363
30/06/2014;18,88;19,22;18,49;18,49;76401
30/05/2014;18,26;18,98;18,04;18,87;46232
30/04/2014;17,61;18,3;17,28;18,28;48980
31/03/2014;17,19;17,68;16,7;17,6;36162
28/02/2014;16,5;17,531;16,12;17,18;37056
31/01/2014;16,54;17,11;16,21;16,49;33156
31/12/2013;16,79;16,79;15,52;16,53;28836
29/11/2013;16,45;16,73;16,13;16,71;14907
31/10/2013;15,6;16,621;15,44;16,44;18346
30/09/2013;14,7;15,924;14,7;15,6;20973
30/08/2013;14,89;15,441;14,73;14,77;11787
31/07/2013;14,06;15,01;13,85;14,96;29085
28/06/2013;15,2;15,37;13,671;14,13;17776
31/05/2013;15,04;15,731;15,02;15,28;29221
30/04/2013;14,57;15,26;14,2;15,12;9841
29/03/2013;14,39;15,09;13,805;14,59;21248
28/02/2013;14,61;14,74;14,05;14,434;39178
31/01/2013;14,42;14,915;14,42;14,68;21398
31/12/2012;14,16;14,62;14,03;14,473;11137
30/11/2012;14,23;14,41;13,476;14,23;17930
31/10/2012;14,36;14,73;14,06;14,3;14000
28/09/2012;14,4;15,166;14,34;14,415;5370
31/08/2012;13,98;14,87;13,608;14,62;9756
31/07/2012;13,63;14,16;12,92;14,04;9010
29/06/2012;13,07;13,86;12,77;13,86;3496
31/05/2012;14,39;14,44;13,17;13,27;16329
