Date;Open Price;High Price;Low Price;Last Price;EMVEUA SW Equity (EUR) - Volume
29/03/2024;42,145;44,765;42,07;44,765;18650
29/02/2024;41,425;42,16;40,87;42,155;38200
31/01/2024;41,7;42,135;40,89;41,91;14812
29/12/2023;40,71;41,98;40,71;41,94;25756
30/11/2023;38,335;40,45;38,335;40,45;29454
31/10/2023;39,5;39,615;37,58;38;6992
29/09/2023;39,88;40,64;39,36;39,545;9065
31/08/2023;40,985;41,115;39,085;39,96;8488
31/07/2023;41,11;42,165;39,58;42,16;20507
30/06/2023;39,57;41,015;39,535;40,915;20590
31/05/2023;40,415;40,725;39,515;39,515;6577
28/04/2023;39,44;40,67;39,325;40,35;22891
31/03/2023;40,03;40,85;37,54;39,305;35481
28/02/2023;39,205;40,45;39,205;40,255;9741
31/01/2023;37,455;39,54;37,455;39,54;10137
30/12/2022;37,41;37,625;36,07;36,505;51656
30/11/2022;35,185;37,36;34,735;37,335;5270
31/10/2022;31,875;34,635;31,525;34,635;21117
30/09/2022;32,97;34,765;31,165;31,51;5235
31/08/2022;34,43;35,645;33,27;33,425;1330000
29/07/2022;34,92;35,885;33,625;35,885;61863
30/06/2022;38,95;39,235;34,685;34,94;55323
31/05/2022;37,5;39,44;36,655;39,17;126930
29/04/2022;38,035;38,745;37,25;37,77;41844
31/03/2022;37,5161;38,79;33,285;38,275;255721
28/02/2022;41,09;41,855;37,5;37,745;84041
31/01/2022;40,605;42,115;39,945;40,97;45979
31/12/2021;38,62;40,21;38,18;40,135;9088
30/11/2021;40,11;40,66;37,77;37,77;26149
29/10/2021;38,09;39,925;38,085;39,925;36554
30/09/2021;39,645;39,745;37,255;38,915;68978
31/08/2021;38,25;40,095;38,25;39,14;62176
30/07/2021;39,86;40,16;37,72;39,38;89775
30/06/2021;39,97;40,94;39,225;39,5;80566
31/05/2021;38,505;40,2;38,175;39,48;56980
30/04/2021;38,125;39,095;38,005;38,445;105080
31/03/2021;35,935;38,335;35,69;38,065;39179
26/02/2021;33,725;35,76;33,725;35,295;15902
29/01/2021;34,35;35,68;33,725;33,91;16867
31/12/2020;34,305;34,65;33,36;34,445;100113
30/11/2020;28,35;34,395;28,35;34,355;64547
30/10/2020;29,605;30,8;27,485;27,485;9748
30/09/2020;30,77;31,35;29,05;29,67;7719
31/08/2020;29,5;31,445;29,465;30,875;6043
31/07/2020;30,44;32,53;30,13;30,13;2845
30/06/2020;30,55;33,21;29,675;30,86;9573
29/05/2020;27,21;29,8;25,95;29,395;9118
30/04/2020;25,84;29,075;25,635;28,17;22341
31/03/2020;34,55;34,635;22,745;26,33;31779
28/02/2020;36,545;39,005;33,5;33,5;21422
31/01/2020;38,355;38,665;37,035;37,035;7580
31/12/2019;37,14;38,54;36,83;38,15;11656
29/11/2019;37,425;38,35;37,425;37,75;26308
31/10/2019;36,28;37,77;35,01;37,305;146353
30/09/2019;34,74;36,775;34,65;36,61;9456
30/08/2019;34,95;34,95;32,8;34,675;80315
31/07/2019;37,01;37,645;35,225;35,225;59836
28/06/2019;35,105;37,05;35;36,82;61894
31/05/2019;38,165;38,165;35,335;35,335;29720
30/04/2019;36,65;38,105;36,65;37,8;25018
29/03/2019;36,625;37,445;35,665;36,1;49499
28/02/2019;35,24;36,47;34,635;36,47;6271
31/01/2019;33,45;35,68;33,45;35,335;27206
31/12/2018;36,055;36,055;32,765;33,365;60066
30/11/2018;36,175;36,585;35,085;35,62;50107
31/10/2018;37,97;37,97;34,74;35,92;82478
28/09/2018;37,2;38,39;36,3;37,77;60595
31/08/2018;38,48;38,98;36,86;37,295;32613
31/07/2018;38,035;40,215;38,035;39,185;104125
29/06/2018;39,11;39,955;38,285;38,6;211689
31/05/2018;40,81;41,53;38,745;38,87;83631
30/04/2018;38,895;41,04;38,21;41,04;106591
30/03/2018;39,76;39,87;37,9;38,975;237774
28/02/2018;41,96;42,06;38,605;40,11;198230
31/01/2018;40,445;42,84;40,27;41,605;191703
29/12/2017;40,45;41,37;40,26;40,35;214067
30/11/2017;41,82;41,9;39,91;40,95;145078
31/10/2017;41,11;41,6;40,48;41,5;139344
29/09/2017;39;40,74;38,93;40,74;107309
31/08/2017;39,89;40,38;38,6;39,14;110514
31/07/2017;40,46;41,52;39,44;39,44;235433
30/06/2017;41,11;41,67;40,23;40,23;265972
31/05/2017;40,7;41,88;40,45;41,14;308447
28/04/2017;39,81;40,87;38,53;40,56;350806
31/03/2017;37,65;39,64;37,65;39,61;125152
28/02/2017;37,36;37,97;36,7;37,33;64939
31/01/2017;38,08;38,69;37,09;37,09;208287
30/12/2016;34,76;37,91;34,48;37,62;224619
30/11/2016;34,82;35,48;33,63;34,55;150980
31/10/2016;33,28;35,09;33,14;34,89;317502
30/09/2016;33,54;34,33;32,52;33,44;35036
31/08/2016;32,42;33,79;31,94;33,79;60521
29/07/2016;32,69;34,09;30,99;32,82;492620
30/06/2016;35,4;35,4;30,31;32,37;360503
31/05/2016;34,66;35,65;33,13;35,26;181044
29/04/2016;33,14;35,56;31,86;34,71;320167
31/03/2016;32,48;34,92;32,48;33,58;253867
29/02/2016;33,67;33,67;29,33;32,46;204583
29/01/2016;37,04;37,04;32,39;33,29;247880
31/12/2015;39,98;40,1;36;37,67;247047
30/11/2015;38,8;40,07;37,73;39,98;263576
30/10/2015;36,11;39,57;35,11;38,83;280823
30/09/2015;37,67;38,71;34,5;35,66;236570
31/08/2015;41,5;42,53;35,21;37,88;202575
31/07/2015;41,84;44,12;39,42;41,62;152051
30/06/2015;42,47;43,02;40,56;41,18;21734
29/05/2015;42,96;43,85;41,66;42,69;37424
30/04/2015;43,39;44,85;42,55;42,6;24140
31/03/2015;42,07;43,58;41,51;43,41;46875
27/02/2015;39,36;41,68;39,27;41,86;16397
30/01/2015;35,97;40,19;36,13;39,2;23226
31/12/2014;38,23;38,75;36,77;37,3;10907
28/11/2014;36,74;38,35;36,42;38,18;14200
31/10/2014;38,58;38,58;33,76;36,98;31726
30/09/2014;38,06;39,04;38,15;38,5;10107
29/08/2014;38,82;38,82;36,57;38,06;25471
31/07/2014;40,31;40,85;38,88;39,5;178302
30/06/2014;40,15;41,3;39,98;40,14;52843
30/05/2014;39,19;40,25;38,76;40,19;56595
30/04/2014;38,97;39,59;37,77;39,3;62016
31/03/2014;37,5;38,98;36,64;38,97;71377
28/02/2014;36,58;38,5;35,72;38,39;63382
31/01/2014;36,68;38,6;36,07;36,46;93753
31/12/2013;37,08;37,51;35,22;37,51;55207
29/11/2013;36,69;37,33;36,12;37,33;47943
31/10/2013;34,52;36,86;34,49;36,58;183612
30/09/2013;32,38;34,75;32,11;34,25;853284
30/08/2013;32,71;33,42;31,94;32;77796
31/07/2013;31,11;33,41;30,34;31,98;97646
28/06/2013;32,61;33,05;29,94;31,08;116806
31/05/2013;31,43;33,72;31,43;33,09;153932
30/04/2013;30,29;31,78;29,58;31,78;101289
29/03/2013;30,49;32,14;29,91;30,41;55101
28/02/2013;31,85;31,85;30,04;30,54;99611
31/01/2013;31,9;32,67;31,45;31,83;167663
31/12/2012;30,09;31,29;29,81;30,92;82166
30/11/2012;29,7;30,11;28,55;30,02;93299
31/10/2012;28,85;30,47;28,83;29,58;65979
28/09/2012;28,63;30,79;28,49;29,05;63558
31/08/2012;27,02;29,1;27,02;28,45;2907
31/07/2012;27,6;27,86;25,62;27,31;3343
29/06/2012;24,86;27,31;24,86;27,31;86
31/05/2012;27,05;27,05;25,1;25,1;1412
