Date;Open Price;High Price;Low Price;Last Price;EUREUA SW Equity (EUR) - Volume
29/03/2024;81,71;85,28;81;84,7;24654
29/02/2024;80,24;82;79,25;81,48;28542
31/01/2024;78,87;80,45;76,93;80,33;42532
29/12/2023;76,35;79,47;76,35;78,59;51631
30/11/2023;71,83;76,35;71,8;75,56;8987
31/10/2023;74,65;75,05;70,77;71,4;17928
29/09/2023;75,78;76,38;73,6;74,08;12066
31/08/2023;77,25;77,27;73,13;75,6;18112
31/07/2023;77,97;79,01;74,64;79,01;12357
30/06/2023;76,06;78,03;75,44;77,16;54639
31/05/2023;77,76;78,5;75,23;75,91;8687
28/04/2023;76,04;78,06;75,22;77,24;23250
31/03/2023;75,87;76,29;71,64;75,5;11600
28/02/2023;74,33;76,63;73,5;75,51;22931
31/01/2023;71,77;75,6;71,66;74,09;26447
30/12/2022;73,68;73,68;69,11;70,31;36262
30/11/2022;68,72;72,59;66,74;72,38;56304
31/10/2022;62,92;67,74;62,92;67,74;17577
30/09/2022;68,02;70,43;62,82;63,51;42666
31/08/2022;71,21;72,85;68,45;68,78;12747
29/07/2022;68,06;73,29;67,34;73,29;23005
30/06/2022;74,2;74,2;66,83;67,71;16252
31/05/2022;74,2;74,25;69,5;73,96;29109
29/04/2022;74,87;75,78;72,68;74,43;43213
31/03/2022;74,41;75,38;66,68;74,59;59105
28/02/2022;76,99;77,9;71;73,81;45856
31/01/2022;80,36;80,9;74,89;77,03;28704
31/12/2021;75,76;79,75;75,07;79,54;31987
30/11/2021;77,2;79,77;74,91;75,98;50231
29/10/2021;72,88;77,39;72,59;76,77;31317
30/09/2021;76,53;77,08;72,56;74,23;26953
31/08/2021;75,14;77,33;74,77;76,05;22767
30/07/2021;75,18;76,07;73,58;75,79;25229
30/06/2021;73,85;75,66;73,33;74,41;45499
31/05/2021;71,2;73,43;70,83;73,23;525079
30/04/2021;69,39;72,15;69,39;71,31;41267
31/03/2021;66,91;69,91;65,72;69,74;48285
26/02/2021;64,2;67,79;64,2;65,57;58021
29/01/2021;65,68;67,23;64,01;64,59;74170
31/12/2020;63,92;65,29;62,33;64,99;36632
30/11/2020;55,32;64,07;55,32;63,62;50280
30/10/2020;58,91;60,45;54,87;55,51;38076
30/09/2020;60,03;61,1;57;58,83;51461
31/08/2020;58,23;61,03;57,45;59,43;21323
31/07/2020;59,77;62,46;58,72;59,28;61965
30/06/2020;58,22;61,59;56,84;59,54;37322
29/05/2020;54,02;58,39;53,22;57,39;77662
30/04/2020;51,85;57,45;50,84;55,75;105583
31/03/2020;62,73;63,66;44,48;52;169927
28/02/2020;67,06;70,66;60,95;60,99;85696
31/01/2020;68,51;70,08;67,95;68;326135
31/12/2019;67,39;69,3;65,3;68,8;62443
29/11/2019;65,59;67,4;65,59;67,22;219227
31/10/2019;64,98;66,02;62,28;65,55;169203
30/09/2019;62,71;64,81;62,39;64,8;31434
30/08/2019;62,36;62,65;59,73;62,6;60936
31/07/2019;65,12;66,45;63,16;63,29;101541
28/06/2019;61,64;65,08;61,47;64,39;237696
31/05/2019;64,88;65,02;61,57;61,69;149616
30/04/2019;63,36;64,98;63,15;64,72;101531
29/03/2019;61,75;63,57;61,06;62,6;87162
28/02/2019;58,97;61,61;58,82;61,34;168227
31/01/2019;55,45;59,23;55,36;58,76;201034
31/12/2018;60,16;60,43;55;55,72;122485
30/11/2018;59,76;60,95;58,41;59,14;221160
31/10/2018;63,31;63,43;57,82;59,78;163337
28/09/2018;62,88;63,56;61;63,05;111724
31/08/2018;63,78;64,19;62,21;62,85;63373
31/07/2018;63,66;65,5;63,09;64,26;91120
29/06/2018;64,72;65,87;62,75;63,84;203208
31/05/2018;64,16;66,4;63,93;64,64;171226
30/04/2018;60,42;63,97;60,12;63,83;89221
30/03/2018;62,19;62,5;59,3;61,01;250081
28/02/2018;65,26;65,32;60,51;62,29;361195
31/01/2018;64,45;66,8;64,26;64,79;661034
29/12/2017;63,87;64,98;63,32;64,45;89085
30/11/2017;65,38;65,71;62,74;64,22;185341
31/10/2017;63,9;65,24;63,64;65,06;63512
29/09/2017;61,65;63,63;61,26;63,54;127190
31/08/2017;62,22;62,78;60,36;61,54;95169
31/07/2017;63,93;64,95;62,04;62,04;99692
30/06/2017;65,07;65,87;63,67;64,02;311496
31/05/2017;64,44;66;64,09;65,38;140182
28/04/2017;62,91;64,23;62,22;64,15;234716
31/03/2017;61,6;62,96;61,15;62,96;214000
28/02/2017;59,83;61,63;59,52;60,9;92605
31/01/2017;60,7;61,27;59,41;59,52;160168
30/12/2016;56,46;60,09;55,99;60,01;178118
30/11/2016;56,22;56,99;54,07;56,74;171281
31/10/2016;56,68;57,36;55,17;56,19;80039
30/09/2016;56,86;58,02;55,59;56,19;70158
31/08/2016;55,51;57,22;55,12;57,07;117637
29/07/2016;55,74;58,02;53,78;55,94;188332
30/06/2016;57,9;58,15;51,6;55;125913
31/05/2016;56,66;58,66;54,88;57,89;232149
29/04/2016;54,86;58,12;53,87;57;162027
31/03/2016;54,78;56,85;54,78;55,52;156318
29/02/2016;56,04;56,15;50;54,76;387479
29/01/2016;60,13;60,13;53,59;56,02;196826
31/12/2015;64,57;64,78;58,79;61,57;161453
30/11/2015;62,39;64,64;61,57;64,39;88156
30/10/2015;58,7;63,31;57,19;62,82;159645
30/09/2015;58,72;61,13;56,3;58;177087
31/08/2015;66,53;67,25;57,15;60,33;172223
31/07/2015;66,02;69,91;63,36;65,99;84181
30/06/2015;68,35;68,43;64,68;65,32;98210
29/05/2015;67;69,75;65,99;68,3;58535
30/04/2015;67,51;70,11;67,09;67,21;38174
31/03/2015;65,56;68,14;65,03;67,15;62502
27/02/2015;61,32;65,96;61,32;65,96;94502
30/01/2015;57,52;63,17;55,98;61,5;96211
31/12/2014;58,5;59,31;54,13;57,8;82721
28/11/2014;56,91;58,92;56,52;58,67;25899
31/10/2014;57,97;57,97;51,66;56,83;131796
30/09/2014;57,98;58,91;57,64;57,77;41604
29/08/2014;58,32;58,38;55,69;57,52;92622
31/07/2014;59,97;60,78;58,59;59,04;83262
30/06/2014;59,93;60,91;59,54;59,68;404033
30/05/2014;58,13;60,03;57,84;60,03;27372
30/04/2014;57,75;58,24;56,46;58,2;32620
31/03/2014;56,55;57,87;55,11;57,51;19360
28/02/2014;54,65;57,85;54,24;57,85;44378
31/01/2014;56,67;58,09;54,55;55;72647
31/12/2013;56,02;56,51;53,37;56,15;42602
29/11/2013;55,48;56,09;55;56,07;52050
31/10/2013;53,31;55,35;52,53;55,19;33682
30/09/2013;51,88;54,21;51,6;53,2;11796
30/08/2013;52,05;52,87;51,02;51,02;56468
31/07/2013;50,44;52,98;49,93;51,28;6253
28/06/2013;52,19;52,56;48,5;50,03;73164
31/05/2013;51,79;54,05;51,79;52,78;69455
30/04/2013;51,25;51,95;49,22;51,94;21523
29/03/2013;49,57;51,58;49,57;50,9;16701
28/02/2013;49,68;49,7;48,98;49,33;14093
31/01/2013;49,59;50,4;49,54;50,4;15844
31/12/2012;48,13;48,91;47,89;48,63;13531
30/11/2012;47,14;47,78;45,92;47,77;17734
31/10/2012;47,08;47,77;46,47;46,85;39662
28/09/2012;46,35;47,68;45,93;46,44;78145
31/08/2012;45,56;47,28;45,56;46,01;2195
31/07/2012;44,97;46,38;44,38;45,26;2070
29/06/2012;42,18;44,26;41,34;43,95;8434
31/05/2012;45,92;45,92;42,08;42,49;11984
