Date;Open Price;High Price;Low Price;Last Price;CSEMAS SW Equity (EUR) - Volume
29/03/2024;147,40727;152,9778;146,9861;152,66765;33297
29/02/2024;139,15202;149,03882;139,15202;147,14815;22380
31/01/2024;144,23764;144,23819;136,22894;140;34025
29/12/2023;140,69106;144,1936;139,89742;143,76357;45649
30/11/2023;136,11771;143,68896;135,70004;141,54269;49884
31/10/2023;142,53027;144,98056;134,27098;134,84633;47626
29/09/2023;144,21365;145,97076;139,70448;141,48232;168223
31/08/2023;145,9958;148,24107;137,58943;142,54082;42945
31/07/2023;144,65005;149,7229;139,44586;149,7229;16335
30/06/2023;139,49814;147,68611;139,2565;142,6635;23374
31/05/2023;138,61818;142,85448;136,68869;140,15793;21487
28/04/2023;143,37405;144,2632;135,96594;138,70003;13931
31/03/2023;145,05391;147,66727;138,1859;144,3555;22169
28/02/2023;151,2468;152,20323;142,14595;142,88139;27280
31/01/2023;142,76503;154,84584;142,00645;150,39116;50671
30/12/2022;143,81424;146,01239;137,7648;138,69853;36245
30/11/2022;130,37846;145,3999;130,37846;145,3999;39337
31/10/2022;134,52284;141,27547;125,57998;128,18854;57103
30/09/2022;151,75606;152,17044;135,57692;136,77222;37727
31/08/2022;148,81805;157,79559;147,60281;152,67555;30133
29/07/2022;148,04845;155,9035;147,99077;151,29941;22259
30/06/2022;152,60832;155,9707;144,50757;148,24001;36602
31/05/2022;154,38196;154,38196;142,31665;151,56541;36048
29/04/2022;156,50362;162,76343;146,29958;154,32742;65318
31/03/2022;162,46143;162,46143;139,76961;155,06226;45238
28/02/2022;165,38907;166,02934;154,56255;159,76796;15006
31/01/2022;168,0078;171,48407;158,73016;163,95401;13619
31/12/2021;166,67255;170,34544;161,25487;166,92885;21718
30/11/2021;166,31017;175,24718;164,38429;165,82088;28504
29/10/2021;162,59378;172,12393;159,80247;167,25887;18324
30/09/2021;168,36597;170,79437;160,50162;164,91228;30829
31/08/2021;165,25694;168,62445;156,86577;167,30753;19697
30/07/2021;177,56773;178,0741;158,93883;164,19597;64820
30/06/2021;174,60966;178,66487;171,77234;177,94751;68920
31/05/2021;171,16071;172,80013;163,33525;172,5139;47101
30/04/2021;175,95345;176,99899;170,18623;172,52847;47677
31/03/2021;177,76762;180,53024;168,67941;174,46808;50712
26/02/2021;177,79619;190,07887;172,47516;174,66887;94761
29/01/2021;165,38806;184,23219;164,44952;173,21959;81305
31/12/2020;157,32669;161,86833;155,31219;161,65677;61890
30/11/2020;151,13519;161,89511;149,97865;156,46646;80839
30/10/2020;145,81525;151,683;143,91534;148,29126;18219
30/09/2020;144,57852;146,3707;139,75821;142,21123;18987
31/08/2020;140,43748;146,85089;139,91902;143,03416;31931
31/07/2020;133,64702;147,37401;133,64702;138,86862;55880
30/06/2020;127,25971;135,00752;125,84847;133,73654;25817
29/05/2020;122,44037;128,849;121,9633;123,86015;48400
30/04/2020;114,59954;129,26762;113,42792;127,51212;69314
31/03/2020;131,93202;134,30421;104,45526;116,54362;66626
28/02/2020;133,37553;145,07016;128,27925;128,69739;36156
31/01/2020;141,10275;146,1906;132,40097;132,40097;67700
31/12/2019;132,29797;140,57277;130,37518;140,37999;12943
29/11/2019;130,80093;136,58183;130,80093;132,71605;19103
31/10/2019;127,53703;130,62511;124,8403;129,28404;47647
30/09/2019;124,16621;129,18295;122,97174;127,85472;23586
30/08/2019;123,89779;124,40845;116,73644;124,40845;25440
31/07/2019;129,36072;130,15987;126,56541;127,48023;23735
28/06/2019;122,27175;127,70103;120,39317;127,15908;36704
31/05/2019;133,20808;134,04787;120,01431;120,8744;61177
30/04/2019;131,87578;134,55194;131,85794;132,31702;46172
29/03/2019;127,54949;130,14883;125,64057;130,14883;39479
28/02/2019;123,96896;129,08002;123,96896;126,37498;67351
31/01/2019;112,20283;124,40175;112,08001;124,40175;29250
31/12/2018;123,31542;123,43874;112,97656;115,09483;34560
30/11/2018;116,46657;120,58333;115,93619;120,31816;94375
31/10/2018;126,06103;126,33762;110,09126;114,47019;58552
28/09/2018;126,84859;128,35924;119,83086;125,45204;57144
31/08/2018;126,28133;129,77417;124,69201;126,95127;28148
31/07/2018;124,96552;129,61057;123,29304;127,65485;29249
29/06/2018;134,21346;136,92412;126,13313;127,0018;56275
31/05/2018;131,21083;136,194;127,81114;132,96204;24749
30/04/2018;128,76823;130,99744;125,24809;130,78258;31017
30/03/2018;131,2807;134,12167;126,34052;129,03751;58004
28/02/2018;135,41148;135,716;124,46373;130,37923;101537
31/01/2018;132,71805;138,92661;132,71805;137,09222;87130
29/12/2017;128,59062;132,38087;126,26134;130,95158;48661
30/11/2017;132,85173;135,08473;129,17332;129,50972;19429
31/10/2017;124,31236;131,28435;124,31236;131,28435;53274
29/09/2017;122,65981;125,42316;120,99425;123,52792;56007
31/08/2017;121,77283;123,41729;116,93596;122,0436;64763
31/07/2017;120,11095;123,91975;117,88966;121,20058;51099
30/06/2017;119,60749;123,52521;118,69641;118,87321;74559
31/05/2017;118,54942;121,11898;116,56961;119,07092;23637
28/04/2017;118,06585;119,42331;115,67052;117,72314;36679
31/03/2017;114,82393;118,78262;113,71899;117,60307;35305
28/02/2017;110,3785;115,96663;109,55692;114,55505;16915
31/01/2017;107,26959;111,45317;106,45531;109,49555;9570
30/12/2016;105,44941;108,05503;103,35184;104,41832;7067
30/11/2016;105,16462;107,01936;101,10497;105,70808;9124
31/10/2016;106,31129;109,16353;104,49275;105,91079;24898
30/09/2016;103,89355;108,08693;102,18049;105,6555;30559
31/08/2016;100,87321;106,23323;100,22373;104,67826;7595
29/07/2016;97,18057;102,90237;94,68843;101,49682;17795
30/06/2016;93,43118;96,61338;91,36254;96,61338;7252
31/05/2016;91,54807;93,85941;88,25838;93,85941;12810
29/04/2016;92,85464;96,10171;90,70522;92,11539;19743
31/03/2016;89,97053;95,37061;89,97053;93,77032;14051
29/02/2016;88,26554;88,83295;81,40335;88,72644;5960
29/01/2016;95,35034;95,35034;84,63154;89,1174;30064
31/12/2015;100,65939;101,35645;91,13028;95,91238;4999
30/11/2015;99,21059;103,78593;98,03629;100,56818;17677
30/10/2015;91,35406;102,69608;90,11742;98,91087;13040
30/09/2015;88,62568;93,34037;87,40787;90,40422;26346
31/08/2015;102,08923;103,82599;79,99827;90,62835;52175
31/07/2015;109,98556;110,11176;100,59728;102,97192;14421
30/06/2015;116,69567;116,69567;106,42947;109,22622;11921
29/05/2015;117,93172;119,49316;112,31029;115,5837;22039
30/04/2015;114,70316;124,74013;114,43015;117,32655;39537
31/03/2015;110,09125;115,34556;109,4188;114,7651;146030
27/02/2015;105,8237;109,9598;104,95161;109,63823;31060
30/01/2015;97,30772;109,3825;95,78091;105,43054;35780
31/12/2014;93,69297;96,84849;89,45559;95,97762;51979
28/11/2014;94,61754;97,00128;92,61127;95,78609;78627
31/10/2014;91,79951;94,92458;87,98441;94,92458;40683
30/09/2014;95,39259;97,66741;92,01045;92,43804;77091
29/08/2014;91,55549;96,26991;90,56773;95,29099;15281
31/07/2014;87,02798;93,43;87,02798;91,52036;34060
30/06/2014;86,3185;87,69704;86,08414;86,96859;24179
30/05/2014;80,66936;86,71277;79,97845;85,52159;13847
30/04/2014;81,19292;82,64564;80,3223;80,60724;8859
31/03/2014;78,09406;80,7508;77,15601;80,7508;5209
28/02/2014;76,98454;79,25024;76,25916;79,12804;8613
31/01/2014;80,44836;81,61689;76,02865;77,51944;44634
31/12/2013;84,66534;84,6801;80,55271;81,57971;14747
29/11/2013;83,66802;84,61939;79,70605;84,30002;25922
31/10/2013;80,54713;83,55861;80,37253;83,40319;37444
30/09/2013;77,98409;83,76618;77,95156;80,65184;22113
30/08/2013;78,60963;79,38292;74,24559;76,598;19279
31/07/2013;78,29784;79,86243;76,10082;78,03555;20236
28/06/2013;82,98685;82,98685;72,97648;78,55441;50553
31/05/2013;84,62009;87,77493;83,81775;83,81775;88777
30/04/2013;84,75752;84,75752;80,13067;84,03252;20677
29/03/2013;84,64193;86,37413;82,00263;85,39774;18408
28/02/2013;82,47385;84,997;82,02033;84,72402;53948
31/01/2013;87,30836;87,66685;82,42228;83,02415;187748
31/12/2012;82,72692;85,06039;81,95081;84,01906;37086
30/11/2012;81,3824;83,44897;79,84029;83,01031;25341
31/10/2012;81,20493;81,64919;79,66062;81,04086;86270
28/09/2012;77,81394;81,04063;77,19952;80,26561;24092
31/08/2012;79,45194;83,52874;77,63901;77,63901;106052
31/07/2012;76,70744;80,47549;76,35801;79,53844;8196
29/06/2012;72,84386;77,40985;72,84386;76,28646;14146
31/05/2012;79,71852;79,71852;73,75797;75,72792;23506
