Date;Open Price;High Price;Low Price;Last Price;SXRV GY Equity (EUR) - Volume
29/03/2024;955,3;969,9;931,8;964,3;124610
29/02/2024;910,1;953,7;902,7;945,4;148399
31/01/2024;870,4;927,5;846,3;905;154287
29/12/2023;832,7;876,2;827;871,3;134785
30/11/2023;774,9;842,4;773,8;828,6;134691
31/10/2023;797,3;827;763,2;771,1;124794
29/09/2023;812,6;828,2;782,6;795,9;111038
31/08/2023;816;817,2;761,6;814,7;123957
31/07/2023;793,6;816,4;775,1;811,9;143005
30/06/2023;759;793;754;790;145704
31/05/2023;684,5;768,8;666,6;758,3;163845
28/04/2023;688,5;688,7;657,1;677;94781
31/03/2023;645,3;684;618;683,6;252439
28/02/2023;629,7;675;625,3;646;174303
31/01/2023;587,2;633,6;575;628,4;221588
30/12/2022;655,1;655,3;572;576,3;205041
30/11/2022;656,6;660;610,7;634,8;234823
31/10/2022;633,7;671,9;612,7;654,7;297366
30/09/2022;687,7;716,6;644;651,1;316824
31/08/2022;714,2;764,1;692,6;695,2;203749
29/07/2022;615,9;718,6;615,6;710;175641
30/06/2022;668,1;677,2;598,7;623;284990
31/05/2022;695;720;611;664,6;232575
29/04/2022;762,9;782,5;693;708,8;149455
31/03/2022;719,7;774;665,5;765,8;228520
28/02/2022;748,6;763,7;659,4;719;231900
31/01/2022;817,1;829,4;699;742,7;459447
31/12/2021;814,7;830,4;775,9;823,9;198652
30/11/2021;776;841,5;770,8;808,7;471784
29/10/2021;710,3;769,4;700,3;769,4;210295
30/09/2021;747,8;748,8;714,9;721,5;200036
31/08/2021;714,9;748;707,3;745,4;162522
30/07/2021;693,2;724,7;690;710,6;243806
30/06/2021;632,7;694,1;625,9;693,4;279090
31/05/2021;651,2;652,3;599;630,9;238667
30/04/2021;633,7;662,1;633,5;651,4;177154
31/03/2021;612,4;630,7;578;630,7;329367
26/02/2021;605;646;592,9;606;221554
29/01/2021;594,6;630,2;571,2;603,1;187744
31/12/2020;582,4;594,2;569,6;591,3;187540
30/11/2020;537;586,2;534,1;572,7;277378
30/10/2020;551,2;585,3;530,4;535,1;244814
30/09/2020;573,2;591,7;512,4;550,4;237699
31/08/2020;524,1;574,3;522,1;568,2;126373
31/07/2020;508,9;548,2;500;514,7;250917
30/06/2020;485,85;510,2;470,9;504,1;195362
29/05/2020;446,6;494,65;443,85;476,55;203368
30/04/2020;390,95;471,5;383;461,05;266560
31/03/2020;437,1;454,8;350;408,25;345604
28/02/2020;459,55;506,3;413,15;426,1;224790
31/01/2020;439,45;471,7;437,2;457,7;123880
31/12/2019;429,75;445,6;413,85;439,7;101609
29/11/2019;407,15;430,7;406,7;428,85;86959
31/10/2019;401,65;409,75;385,35;405,45;89571
30/09/2019;390,1;407,1;388,15;397,65;122529
30/08/2019;397,45;404,7;368,05;390,9;193179
31/07/2019;385,45;404;383,1;400,8;148508
28/06/2019;354,8;385,6;346,55;376,6;174487
31/05/2019;387,4;390,95;357,6;360;170139
30/04/2019;370,45;395,6;369,9;386;82015
29/03/2019;350,75;370;345,25;366,55;72151
28/02/2019;336,05;352,55;333,7;348,95;65048
31/01/2019;303,2;336,25;299,95;336,2;103287
31/12/2018;349,65;350,2;297,4;307,7;67791
30/11/2018;341,15;351,6;315,7;339,65;66198
31/10/2018;369,1;370,15;326,35;343,05;135556
28/09/2018;367,55;369,85;351,6;366;45443
31/08/2018;346;367,45;344,9;366,95;59987
31/07/2018;333,95;356,6;333,45;343,85;70810
29/06/2018;333;352,25;332,35;337,7;147816
31/05/2018;310,65;334,7;304,1;333,2;106274
30/04/2018;289,55;311,25;284,8;306,6;224673
30/03/2018;313,25;322,25;288,5;294,6;371782
28/02/2018;311,65;316,1;285,3;314,35;67335
31/01/2018;295,35;314,85;294,05;310,1;60455
29/12/2017;295,98;306,67;291,15;298,65;29922
30/11/2017;298,34;302,62;292,46;295,49;19194
31/10/2017;281,46;297,94;281,41;296,14;39637
29/09/2017;279,47;280,15;272,97;279,57;15894
31/08/2017;276,56;280,48;265,5;278,1;67797
31/07/2017;274,83;285,44;271,03;276,15;31397
30/06/2017;285,36;291,49;272,78;274,13;57768
31/05/2017;285,12;288,4;275,69;284,25;55354
28/04/2017;281,84;283,5;277,5;282,49;47922
31/03/2017;279,94;283,24;269,87;281,07;36064
28/02/2017;262,56;281,16;261,63;277,78;30716
31/01/2017;255;266,63;255;259,92;42914
30/12/2016;249,45;264,03;243,21;257,89;25126
30/11/2016;241,31;253,77;231,01;252,64;47310
31/10/2016;239,93;248,82;237,95;241,86;19382
30/09/2016;236,2;240;226,8;238,76;29897
31/08/2016;233,32;238,24;230,16;235,15;12823
29/07/2016;217,4;234,87;216,67;232,94;16291
30/06/2016;223,23;223,25;209,34;217,42;20901
31/05/2016;207,45;222,92;205,24;222,67;35403
29/04/2016;214,8;221,92;206,3;206,3;16347
31/03/2016;212,51;219,59;208,82;216,22;31344
29/02/2016;214,72;214,8;187,4;214,8;100031
29/01/2016;227,24;230,02;201,7;213,9;89625
31/12/2015;242,48;244,98;222,33;234,53;62608
30/11/2015;229,19;242,96;228,23;241,56;43603
30/10/2015;207,24;233,23;199,99;231,36;44614
30/09/2015;202,87;213,33;199;203,47;44735
31/08/2015;227,29;232,3;185,07;209,52;68840
31/07/2015;216,34;236,1;214,68;227,2;48926
30/06/2015;224,97;226,2;213,19;214,88;126171
29/05/2015;218,06;227,17;207,53;223,82;66794
30/04/2015;219,85;228,65;215,76;216,59;100937
31/03/2015;216,55;226,73;210,89;221,01;85523
27/02/2015;199,31;216,77;197,43;216,01;64535
30/01/2015;191,89;208,03;187,66;200,99;79727
31/12/2014;189,17;192,59;178,11;192,44;76276
28/11/2014;180,25;189,73;178,8;189,73;58420
31/10/2014;174,18;179,59;156,79;179,59;36011
30/09/2014;168,22;175,16;167,42;174,82;21719
29/08/2014;156,64;168,32;155,42;168,3;14394
31/07/2014;152,51;161,5;152,5;158,1;25882
30/06/2014;148,61;152,74;147,67;152,38;25852
30/05/2014;140,08;148,5;136,38;148,29;28183
30/04/2014;141;144,89;134,83;139,08;29315
31/03/2014;144,47;146,87;139,02;141,12;50772
28/02/2014;140,83;146,16;137,39;145,43;52841
31/01/2014;142,58;144,12;137,5;140,38;21150
31/12/2013;138,73;140,39;135,39;140,2;8629
29/11/2013;135,02;138,4;134,44;138,4;8772
31/10/2013;129,07;134,49;124,51;134,49;20914
30/09/2013;126,64;129,52;126,64;128,06;3136
30/08/2013;125,81;127,45;123,17;125,24;23865
31/07/2013;120,62;126,8;120,12;125,38;22919
28/06/2013;122,98;123,7;116;120,36;38792
31/05/2013;116,93;126,58;116,93;125;3071
30/04/2013;116,71;117,97;113,07;116,96;20643
29/03/2013;112,34;117,54;112,34;117,41;15876
28/02/2013;107,17;112,61;107,17;112,61;13949
31/01/2013;107,98;112,5;107,47;107,47;11307
31/12/2012;109,86;110,76;105,83;105,97;51440
30/11/2012;110,71;111,89;105,18;109,74;55774
31/10/2012;116,06;116,33;108,6;108,6;35940
28/09/2012;117,54;118,92;115,08;116,11;1877
31/08/2012;114,62;120,08;114,32;117,52;2745
31/07/2012;110,64;115,21;110,48;114,72;367
29/06/2012;106,38;109,96;104,47;109,19;18714
31/05/2012;109,74;110,06;104,31;108,4;1622
