Date;Open Price;High Price;Low Price;Last Price;LQDA NA Equity (EUR) - Volume
29/03/2024;94,22;95,16;92,74;94,78;26660
29/02/2024;96,45;96,74;93,62;94,51;48289
31/01/2024;94,38;95,99;93,6;95,92;107077
29/12/2023;92,67;95,61;92,5;94,5;52049
30/11/2023;88,55;92,67;88,55;92,56;33918
31/10/2023;90,68;91,19;87,22;88,94;63123
29/09/2023;92,84;93,3;90,42;91,06;24031
31/08/2023;92,75;92,94;89,91;92,92;55633
31/07/2023;93,43;93,64;90,36;92,46;51028
30/06/2023;95,5;95,88;91,62;93,16;36231
31/05/2023;93,49;95,7;92,78;95,66;52332
28/04/2023;95,66;96,08;93,67;94,38;26809
31/03/2023;94,68;97,49;93,66;94,77;68707
28/02/2023;96,62;97,96;94,31;94,88;20519
31/01/2023;93,56;97,82;93,56;96,3;48967
30/12/2022;98,65;100;93,7;93,7;33734
30/11/2022;97,42;99,36;95,3;97,85;48685
31/10/2022;99,32;100,94;95,08;97,6;37199
30/09/2022;103,41;104,93;98,9;99,69;63716
31/08/2022;106,35;107,42;104,13;104,13;77715
29/07/2022;99,84;107,01;99,8;106,92;20243
30/06/2022;101,61;102,65;97,52;99,72;29932
31/05/2022;101,66;103,36;99,4;101,4;62572
29/04/2022;103,52;105,17;99,33;102,07;51803
31/03/2022;105,89;109,03;102,42;103,88;60614
28/02/2022;108;108,43;103,18;105,88;48999
31/01/2022;111,69;111,69;107,07;108,41;48647
31/12/2021;112,24;114,05;110,89;111,64;56197
30/11/2021;109,68;113;109,51;112,79;22101
29/10/2021;109,4;110,23;107,87;110,23;34060
30/09/2021;109,48;110,57;108,54;109,3;56060
31/08/2021;109;110,95;108,96;109,74;57213
30/07/2021;107,82;110,6;107,61;109,59;30995
30/06/2021;103;108,19;102,77;108,19;85459
31/05/2021;104,15;104,81;101,8;103,19;52007
30/04/2021;106,06;106,1;102,9;104,12;31833
31/03/2021;104,66;105,8;102,08;105,75;150721
26/02/2021;107,32;108,53;102,89;104,01;65891
29/01/2021;107,5;108,16;105,1;107,1;64758
31/12/2020;111;111,2;106,88;107,72;81611
30/11/2020;110,58;112;109,14;110,92;29127
30/10/2020;109,41;111,08;108,3;110,21;50313
30/09/2020;108,5;111,36;108,3;109,47;55252
31/08/2020;112,84;113,65;108,29;108,83;36409
31/07/2020;114,63;116,1;111,28;111,98;87476
30/06/2020;113,8;114,74;110,99;114,15;160657
29/05/2020;113,83;115,59;111,67;113,33;108364
30/04/2020;106,11;116,38;106,11;113,69;58922
31/03/2020;114,5;116,1;91,67;108,41;180342
28/02/2020;113,71;117,79;113,13;114,52;211037
31/01/2020;109,31;113,98;109,18;113,26;130247
31/12/2019;111,5;111,58;108,9;109,56;114685
29/11/2019;109,66;112,26;109,36;111,71;80262
31/10/2019;111,91;112,11;108,73;109,69;229167
30/09/2019;112,8;113,47;107,83;111,48;183645
30/08/2019;107,61;112,51;107,52;112,51;194752
31/07/2019;105,44;107,57;104,67;107,26;98704
28/06/2019;104,13;105,25;102,91;104,54;64837
31/05/2019;102,33;104,4;101,68;104,14;112690
30/04/2019;101,37;103,02;100,5;102,17;36680
29/03/2019;98,35;101,69;98,1;101,59;35209
28/02/2019;97,98;99,49;97,23;98,17;61266
31/01/2019;94,61;97,77;94,49;97,77;59373
31/12/2018;94,65;96,07;93,82;94,37;52042
30/11/2018;94,95;96,35;93,77;94,78;39367
31/10/2018;95,09;95,6;93,67;95,4;39606
28/09/2018;96,45;96,45;92,95;94,81;14690
31/08/2018;95,12;98,57;94,91;96,1;23897
31/07/2018;94,34;95,74;93,85;95,12;8552
29/06/2018;95,04;95,33;92,68;94,16;36165
31/05/2018;91,83;96,66;91,75;95,36;65107
30/04/2018;91,11;91,93;90,02;91,87;48600
30/03/2018;92,49;92,73;89,27;91,3;78000
28/02/2018;92,87;93,14;90;92,35;50143
31/01/2018;97,51;97,51;91,98;92,73;84002
29/12/2017;97,71;99,79;97,21;97,25;81905
30/11/2017;100,08;101,01;97,72;97,81;60749
31/10/2017;98,73;100,55;98,1;100,23;88489
29/09/2017;98,69;98,94;96,66;98,36;31379
31/08/2017;98,5;99,51;97,26;98,63;60972
31/07/2017;101,35;101,93;98,7;98,81;27118
30/06/2017;103,15;104,3;101,12;101,39;47431
31/05/2017;104,45;105,35;102,65;103,16;64592
28/04/2017;105,96;107,91;104,39;104,77;73814
31/03/2017;108,36;108,36;103,77;105,74;87606
28/02/2017;104,68;108,5;104,44;107,99;52862
31/01/2017;107,62;108,63;104,76;104,8;130965
30/12/2016;106,35;107,88;104,5;107,03;48928
30/11/2016;106,05;107,19;104,11;106,34;36792
31/10/2016;105,39;108,65;104,55;106,4;31028
30/09/2016;107,19;107,33;103,55;105,42;21505
31/08/2016;106,93;107,61;105,1;107,31;20720
29/07/2016;106,85;108,81;106,12;106,71;65584
30/06/2016;103,6;106,68;101,65;106,08;38953
31/05/2016;101,14;103,59;99,78;103,36;52867
29/04/2016;100,26;102,75;99,95;100,91;62972
31/03/2016;102,15;102,33;99,5;100,11;48189
29/02/2016;101,09;102,21;96,83;102,2;69611
29/01/2016;100,74;102,59;99,8;101,54;74778
31/12/2015;105,36;106,15;99,15;100,56;99876
30/11/2015;101,19;105,78;100,91;105,78;22228
30/10/2015;99,42;102,65;97,8;101,14;95227
30/09/2015;97,28;99,94;96,97;99,34;61901
31/08/2015;101,43;102,41;95,92;98;86083
31/07/2015;99,32;102,04;98,47;100,91;70893
30/06/2015;103,08;103,2;96,78;99,34;79139
29/05/2015;102,06;104,85;98,78;102,82;99051
30/04/2015;107,79;110,62;102,04;102,17;110359
31/03/2015;103,64;109,06;102,6;108,06;82008
27/02/2015;104,76;104,8;101,09;102,99;60423
30/01/2015;94,43;104,8;94,43;104,72;57975
31/12/2014;91,94;94,36;90,47;94,03;48958
28/11/2014;91,95;92,11;90,19;91,73;53638
31/10/2014;89,14;91,14;89,14;90,84;54199
30/09/2014;87,13;89,36;86,5;89,36;28606
29/08/2014;84,54;87;84,05;86,99;16009
31/07/2014;82,89;85,09;82,47;84,58;10869
30/06/2014;83,47;83,69;82,48;83;23885
30/05/2014;81,68;83,75;81,33;83,13;11815
30/04/2014;80,77;81,7;80,5;81,35;18748
31/03/2014;80,76;81,37;79,18;80,77;22465
28/02/2014;81,98;82,28;80,4;80,52;32049
31/01/2014;79,22;81,98;79,22;81,89;19376
31/12/2013;79,81;79,89;78,34;79,02;30403
29/11/2013;81,07;81,68;79,63;79,63;18796
31/10/2013;79,14;80,74;79,14;80,74;51918
30/09/2013;80,63;80,86;78,91;79,57;38724
30/08/2013;81,96;81,96;79,08;80,95;56921
31/07/2013;82,29;84,03;81,4;81,4;22294
28/06/2013;85,45;85,57;80,13;82,37;61843
31/05/2013;88,67;89,5;85,66;85,93;58051
30/04/2013;88,44;89,42;87,58;88,27;33581
29/03/2013;87,02;89,03;86,29;88,6;33538
28/02/2013;83,38;87,4;83,14;86,97;41779
31/01/2013;86,25;88,28;83,58;83,71;59733
31/12/2012;88;89,55;86,06;87,17;62484
30/11/2012;89,59;91,49;88,36;88,58;33280
31/10/2012;89,07;90,09;88,15;89,55;49803
28/09/2012;89,83;90,43;85,58;89,17;64340
31/08/2012;91,98;93,62;89,1;89,51;82725
31/07/2012;87,78;93,87;87,5;92,33;68132
29/06/2012;88,17;88,83;86,22;87,22;34302
31/05/2012;83,31;88,2;84;88,2;62067
